
Processing generation 486000; best fitness = 0.939916366079
Processing generation 487000; best fitness = 0.939979735339
Processing generation 488000; best fitness = 0.939979735339
Processing generation 489000; best fitness = 0.939979735339
Processing generation 490000; best fitness = 0.939979735339
Processing generation 491000; best fitness = 0.940000410992
Processing generation 492000; best fitness = 0.940000410992
Processing generation 493000; best fitness = 0.940008426539
Processing generation 494000; best fitness = 0.940008426539
Processing generation 495000; best fitness = 0.940008426539
Processing generation 496000; best fitness = 0.940008426539
Processing generation 497000; best fitness = 0.940008426539
Processing generation 498000; best fitness = 0.940008426539
Processing generation 499000; best fitness = 0.940008426539
Processing generation 500000; best fitness = 0.940008426539
