Processing generation 451000; best fitness = 1.20298374904
Processing generation 452000; best fitness = 1.20307598872
Processing generation 453000; best fitness = 1.203136696
Processing generation 454000; best fitness = 1.2031401531
Processing generation 455000; best fitness = 1.20319151527
Processing generation 456000; best fitness = 1.20322438844
Processing generation 457000; best fitness = 1.2033226385
Processing generation 458000; best fitness = 1.20363292035
Processing generation 459000; best fitness = 1.20369522472
Processing generation 460000; best fitness = 1.20370804644
Processing generation 461000; best fitness = 1.20371875913
Processing generation 462000; best fitness = 1.20417957568
Processing generation 463000; best fitness = 1.20441744406
Processing generation 464000; best fitness = 1.20457453301
Processing generation 465000; best fitness = 1.20465002733
Processing generation 466000; best fitness = 1.20465716091
Processing generation 467000; best fitness = 1.2047041521
Processing generation 468000; best fitness = 1.20481871641
Processing generation 469000; best fitness = 1.20490353663
Processing generation 470000; best fitness = 1.20494952725
Processing generation 471000; best fitness = 1.2049551372
Processing generation 472000; best fitness = 1.20495537623
Processing generation 473000; best fitness = 1.20499107583
Processing generation 474000; best fitness = 1.20515483746
Processing generation 475000; best fitness = 1.20544790129
Processing generation 476000; best fitness = 1.20571959865
Processing generation 477000; best fitness = 1.20578310782
Processing generation 478000; best fitness = 1.20579061152
Processing generation 479000; best fitness = 1.20582430373
Processing generation 480000; best fitness = 1.20594722884
Processing generation 481000; best fitness = 1.20603325778
Processing generation 482000; best fitness = 1.20604701835
Processing generation 483000; best fitness = 1.20604806133
Processing generation 484000; best fitness = 1.20609252225
Processing generation 485000; best fitness = 1.20636712194
Processing generation 486000; best fitness = 1.20638902934
Processing generation 487000; best fitness = 1.20683155364
Processing generation 488000; best fitness = 1.20688362655
Processing generation 489000; best fitness = 1.20691112498
Processing generation 490000; best fitness = 1.20716735294
Processing generation 491000; best fitness = 1.20722740857
Processing generation 492000; best fitness = 1.20723183207
Processing generation 493000; best fitness = 1.20744337559
Processing generation 494000; best fitness = 1.20755060914
Processing generation 495000; best fitness = 1.20758953987
Processing generation 496000; best fitness = 1.20761576172
Processing generation 497000; best fitness = 1.20768097954
Processing generation 498000; best fitness = 1.20770831706
Processing generation 499000; best fitness = 1.20773138469
Processing generation 500000; best fitness = 1.20775051165
