Processing generation 428000; best fitness = 1.27025489073
Processing generation 429000; best fitness = 1.2702629947
Processing generation 430000; best fitness = 1.27031130575
Processing generation 431000; best fitness = 1.2703479365
Processing generation 432000; best fitness = 1.27038449722
Processing generation 433000; best fitness = 1.27039693765
Processing generation 434000; best fitness = 1.27045191238
Processing generation 435000; best fitness = 1.27053050132
Processing generation 436000; best fitness = 1.2709792367
Processing generation 437000; best fitness = 1.27102729019
Processing generation 438000; best fitness = 1.27103375095
Processing generation 439000; best fitness = 1.27104584451
Processing generation 440000; best fitness = 1.27104947758
Processing generation 441000; best fitness = 1.27104947758
Processing generation 442000; best fitness = 1.27105791512
Processing generation 443000; best fitness = 1.27110441858
Processing generation 444000; best fitness = 1.27115419145
Processing generation 445000; best fitness = 1.27153583794
Processing generation 446000; best fitness = 1.27161081349
Processing generation 447000; best fitness = 1.27162089874
Processing generation 448000; best fitness = 1.27182009416
Processing generation 449000; best fitness = 1.27183577709
Processing generation 450000; best fitness = 1.27188108219
Processing generation 451000; best fitness = 1.27193884772
Processing generation 452000; best fitness = 1.27208595588
Processing generation 453000; best fitness = 1.27231557821
Processing generation 454000; best fitness = 1.27246458299
Processing generation 455000; best fitness = 1.2724718265
Processing generation 456000; best fitness = 1.27264136253
Processing generation 457000; best fitness = 1.27271316519
Processing generation 458000; best fitness = 1.27286289538
Processing generation 459000; best fitness = 1.2733922167
Processing generation 460000; best fitness = 1.27343723565
Processing generation 461000; best fitness = 1.27354990383
Processing generation 462000; best fitness = 1.27368991301
Processing generation 463000; best fitness = 1.27394335888
Processing generation 464000; best fitness = 1.27397494072
Processing generation 465000; best fitness = 1.27404249938
Processing generation 466000; best fitness = 1.27404783419
Processing generation 467000; best fitness = 1.27414089545
Processing generation 468000; best fitness = 1.27474028087
Processing generation 469000; best fitness = 1.27485104018
Processing generation 470000; best fitness = 1.27490717902
Processing generation 471000; best fitness = 1.27491998733
Processing generation 472000; best fitness = 1.27493945493
Processing generation 473000; best fitness = 1.27522636547
Processing generation 474000; best fitness = 1.27544569179
Processing generation 475000; best fitness = 1.27545626739
Processing generation 476000; best fitness = 1.27555348103
Processing generation 477000; best fitness = 1.27555999391
Processing generation 478000; best fitness = 1.27565189219
Processing generation 479000; best fitness = 1.27586633793
Processing generation 480000; best fitness = 1.27590461982
Processing generation 481000; best fitness = 1.27592527923
Processing generation 482000; best fitness = 1.27596183693
Processing generation 483000; best fitness = 1.27600046561
Processing generation 484000; best fitness = 1.27600705382
Processing generation 485000; best fitness = 1.27610414055
Processing generation 486000; best fitness = 1.27610971143
Processing generation 487000; best fitness = 1.27611966808
Processing generation 488000; best fitness = 1.27613657701
Processing generation 489000; best fitness = 1.27613822105
Processing generation 490000; best fitness = 1.27614854661
Processing generation 491000; best fitness = 1.27616950017
Processing generation 492000; best fitness = 1.27634351112
Processing generation 493000; best fitness = 1.2763798195
Processing generation 494000; best fitness = 1.27638204946
Processing generation 495000; best fitness = 1.27666643374
Processing generation 496000; best fitness = 1.27668762254
Processing generation 497000; best fitness = 1.27675712487
Processing generation 498000; best fitness = 1.27675945019
Processing generation 499000; best fitness = 1.276832935
Processing generation 500000; best fitness = 1.27791697898
